county,last_reporting_date,cumulative_total_doses,total_partially_vaccinated,cumulative_fully_vaccinated,cumulative_at_least_one_dose,cumulative_booster_recip_count,cumulative_bivalent_booster_recip_count,county_population_2020,total_state_population_2020
Alameda,2023-06-06,4616965,123088,1413673,1536863,1014689,523271,1671855,39782419
All CA and Non-CA Counties,2023-06-06,89194470,3491560,29111372,32604822,17874196,7590541,NULL,39782419
All CA Counties,2023-06-06,87801756,3159521,28708994,31870353,17874196,7590541,NULL,39782419
Alpine,2023-06-06,1895,72,594,666,361,167,1115,39782419
Amador,2023-06-06,68900,1872,22186,24058,13632,6317,37577,39782419
Butte,2023-06-06,352544,11346,119138,130490,70897,27286,206362,39782419
Calaveras,2023-06-06,77151,1984,24693,26677,15090,6873,44286,39782419
Colusa,2023-06-06,34920,1274,13276,14552,5743,1643,22075,39782419
Contra Costa,2023-06-06,3140306,66195,977145,1043377,670412,326321,1149800,39782419
Del Norte,2023-06-06,40376,1765,13665,15432,7663,3104,27193,39782419
El Dorado,2023-06-06,374424,11977,120168,132150,74689,34655,192012,39782419
Fresno,2023-06-06,1793050,67718,630407,698169,332043,107772,1026358,39782419
Glenn,2023-06-06,43642,1508,16009,17518,8174,2553,29507,39782419
Humboldt,2023-06-06,289925,9025,92465,101494,59243,28790,132706,39782419
Imperial,2023-06-06,547331,88591,181480,270247,83614,19142,188090,39782419
Inyo,2023-06-06,36345,1126,11723,12849,7121,3249,18429,39782419
Kern,2023-06-06,1353725,57893,496468,554403,240023,69346,912975,39782419
Kings,2023-06-06,193951,9684,71300,80990,33730,9414,154745,39782419
Lake,2023-06-06,105266,4528,36130,40660,20057,6736,63771,39782419
Lassen,2023-06-06,24384,1032,8993,10025,4428,1459,28872,39782419
Los Angeles,2023-06-06,22761850,858424,7556279,8415193,4546473,1864407,10171593,39782419
Madera,2023-06-06,247565,10106,88331,98439,44276,13172,158794,39782419
Marin,2023-06-06,818450,19843,233741,253593,176698,100934,258956,39782419
Mariposa,2023-06-06,28562,1513,9153,10667,5402,2656,17778,39782419
Mendocino,2023-06-06,190171,7391,60631,68025,36829,16557,87491,39782419
Merced,2023-06-06,439633,21445,158886,180341,76297,21239,284761,39782419
Modoc,2023-06-06,10733,276,3761,4040,2071,803,9416,39782419
Mono,2023-06-06,27437,1028,9159,10188,5137,2183,13447,39782419
Monterey,2023-06-06,964848,38376,325584,363977,183577,75532,441290,39782419
Napa,2023-06-06,361877,12283,111535,123826,74716,36135,138711,39782419
Nevada,2023-06-06,207427,7405,64585,71992,40559,20726,97439,39782419
Orange,2023-06-06,7180536,229112,2371972,2601217,1461421,579077,3190832,39782419
Outside California,2023-06-06,1383642,330311,399590,729953,183158,85158,NULL,39782419
Placer,2023-06-06,855804,20822,274816,295655,174912,79300,397469,39782419
Plumas,2023-06-06,31683,999,10467,11466,6181,2693,18246,39782419
Riverside,2023-06-06,4337263,171885,1494706,1666668,804078,285458,2449299,39782419
Sacramento,2023-06-06,3322636,94889,1084248,1179245,671907,302875,1562242,39782419
San Benito,2023-06-06,137659,4350,46690,51044,27433,10499,62789,39782419
San Bernardino,2023-06-06,3615327,129537,1275967,1405565,674065,229792,2184112,39782419
San Diego,2023-06-06,7886972,412021,2563387,2975551,1555147,623582,3352145,39782419
San Francisco,2023-06-06,2635069,81991,759609,841629,595201,326789,899891,39782419
San Joaquin,2023-06-06,1487648,54319,513006,567362,285391,97937,776068,39782419
San Luis Obispo,2023-06-06,591789,18643,186010,204674,119205,56119,276151,39782419
San Mateo,2023-06-06,2272615,62468,671546,734038,501132,272382,775132,39782419
Santa Barbara,2023-06-06,969998,39254,317949,357218,191159,81635,451329,39782419
Santa Clara,2023-06-06,5505286,148319,1689317,1837689,1224446,573878,1962251,39782419
Santa Cruz,2023-06-06,697061,18898,212796,231706,146849,74482,270067,39782419
Shasta,2023-06-06,249499,10581,85502,96089,47673,18943,177692,39782419
Sierra,2023-06-06,4719,127,1584,1711,876,380,3117,39782419
Siskiyou,2023-06-06,66436,2779,21748,24530,12400,5532,43792,39782419
Solano,2023-06-06,973036,36790,312496,349295,194882,87198,440198,39782419
Sonoma,2023-06-06,1297847,30551,399038,429627,272318,132302,491134,39782419
Stanislaus,2023-06-06,938916,32413,333623,366055,171517,56138,555955,39782419
Sutter,2023-06-06,163453,5344,59461,64812,30290,8958,101160,39782419
Tehama,2023-06-06,81412,3036,28686,31723,14807,5601,65266,39782419
Trinity,2023-06-06,18388,858,6037,6895,3568,1601,13291,39782419
Tulare,2023-06-06,716206,31099,260756,291864,125263,34135,480788,39782419
Tuolumne,2023-06-06,90444,2425,28867,31292,17815,7811,52353,39782419
Unknown,2023-06-06,9072,1728,2788,4516,1389,518,NULL,39782419
Ventura,2023-06-06,1890780,57052,625371,682444,376658,155502,841439,39782419
Yolo,2023-06-06,520296,16049,162069,178128,109607,55298,221718,39782419
Yuba,2023-06-06,109325,4142,40112,44260,19806,6526,79089,39782419
