demographic_category,demographic_value,last_reporting_date,cumulative_total_doses,total_partially_vaccinated,cumulative_fully_vaccinated,cumulative_at_least_one_dose,cumulative_booster_recip_count,cumulative_bivalent_booster_recip_count,demographic_population_2020,total_state_population_2020
Age Group,12-17,2023-06-06,6020882,225715,2154740,2381302,916348,323140,3163240,39782419
Age Group,18-49,2023-06-06,37909720,1790132,13455536,15246040,7547280,2440383,17046839,39782419
Age Group,50-64,2023-06-06,20422317,611303,6263648,6874951,4393758,1914552,7443437,39782419
Age Group,5-11,2023-06-06,3522033,199443,1326523,1526151,400965,224715,3535395,39782419
Age Group,65+,2023-06-06,20616408,545493,5718727,6264220,4588829,2660809,6287016,39782419
Age Group,Under 5,2023-06-06,699144,116898,191740,308875,26933,26933,2306492,39782419
Age Group,Unknown Agegroup,2023-03-28,3966,2568,458,3275,83,9,NULL,39782419
Gender,Female,2023-06-06,47083611,1697184,15134440,16832490,9692795,4114777,19930863,39782419
Gender,Male,2023-06-06,42027464,1773061,13947760,15721821,8174449,3474340,19851556,39782419
Gender,Unknown/undifferentiated,2023-06-02,83395,21315,29172,50511,6952,1424,NULL,39782419
Race/Ethnicity,American Indian or Alaska Native,2023-06-06,266029,14818,91222,106050,49420,18874,173029,39782419
Race/Ethnicity,Asian,2023-06-06,15801269,457503,4812863,5270584,3601072,1630969,5216606,39782419
Race/Ethnicity,Black or African American,2023-06-06,3924192,140881,1307581,1448551,790152,324170,2283480,39782419
Race/Ethnicity,Latino,2023-06-06,25280090,1198514,9039851,10239045,4603330,1461789,15681521,39782419
Race/Ethnicity,Multiracial,2023-06-06,3084545,37842,914785,952660,714161,355036,1097117,39782419
Race/Ethnicity,Native Hawaiian or Other Pacific Islander,2023-06-06,361267,14630,125025,139673,71646,23621,143420,39782419
Race/Ethnicity,Other Race,2023-06-06,5131679,365038,1872121,2237327,829722,257184,NULL,39782419
Race/Ethnicity,Unknown,2023-06-06,2285121,405427,801249,1206919,255485,89500,NULL,39782419
Race/Ethnicity,White,2023-06-06,33060278,856907,10146675,11004013,6959214,3429398,15187246,39782419
