county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Sacramento,2023-05-12,70,2,72,2701,5,1,77
Orange,2023-05-12,67,4,71,5760,11,0,135
Solano,2023-05-12,19,2,21,643,3,0,12
Napa,2023-05-12,3,0,3,216,0,0,5
Lassen,2023-05-12,0,0,0,25,0,0,0
Madera,2023-05-12,2,0,2,335,0,0,13
Kern,2023-05-12,12,0,12,1025,5,0,35
Monterey,2023-05-12,13,0,13,731,1,0,11
Modoc,2023-05-12,0,0,0,12,0,0,0
San Luis Obispo,2023-05-12,5,0,5,439,0,0,21
Tehama,2023-05-12,1,0,1,60,0,0,6
Amador,2023-05-12,0,0,0,54,0,0,0
Los Angeles,2023-05-12,253,32,285,19218,31,6,611
Butte,2023-05-12,14,0,14,422,0,0,15
Mariposa,2023-05-12,0,0,0,14,0,0,0
Yolo,2023-05-12,3,0,3,142,0,0,5
Trinity,2023-05-12,0,0,0,10,0,0,0
Santa Cruz,2023-05-12,14,0,14,330,0,0,0
Alameda,2023-05-12,51,5,56,2508,7,1,82
Placer,2023-05-12,38,2,40,818,3,0,17
Colusa,2023-05-12,1,0,1,37,0,0,0
Lake,2023-05-12,1,0,1,66,0,0,0
Yuba,2023-05-12,3,0,3,261,2,0,7
Mono,2023-05-12,0,0,0,17,0,0,2
Del Norte,2023-05-12,0,0,0,54,0,0,4
Marin,2023-05-12,7,0,7,376,0,0,15
Kings,2023-05-12,2,0,2,104,0,0,0
Nevada,2023-05-12,6,0,6,118,1,0,6
Calaveras,2023-05-12,1,0,1,33,0,0,0
Tuolumne,2023-05-12,3,0,3,72,0,0,5
Shasta,2023-05-12,3,0,3,568,1,0,26
San Benito,2023-05-12,1,0,1,25,0,0,1
Sonoma,2023-05-12,19,0,19,639,2,0,27
Humboldt,2023-05-12,1,0,1,274,0,0,11
Mendocino,2023-05-12,3,0,3,96,1,0,6
San Joaquin,2023-05-12,13,0,13,905,1,0,11
Fresno,2023-05-12,55,4,59,1685,6,0,34
San Francisco,2023-05-12,36,2,38,2163,6,1,74
Plumas,2023-05-12,0,0,0,35,0,0,0
Glenn,2023-05-12,1,0,1,32,0,0,0
Merced,2023-05-12,3,0,3,271,0,0,16
El Dorado,2023-05-12,1,0,1,194,1,0,6
Siskiyou,2023-05-12,1,0,1,56,0,0,6
Sutter,2023-05-12,0,0,0,14,0,0,0
Ventura,2023-05-12,10,4,14,1166,1,0,33
Inyo,2023-05-12,0,0,0,29,0,0,2
Riverside,2023-05-12,42,4,46,3355,9,0,123
San Diego,2023-05-12,95,12,107,6572,16,0,282
San Mateo,2023-05-12,20,1,21,668,0,0,16
Imperial,2023-05-12,11,0,11,221,1,0,10
San Bernardino,2023-05-12,62,2,64,3667,13,0,177
Contra Costa,2023-05-12,38,5,43,1363,4,0,68
Stanislaus,2023-05-12,26,1,27,1223,2,0,31
Santa Barbara,2023-05-12,9,1,10,604,1,0,24
Tulare,2023-05-12,7,1,8,670,0,0,26
Santa Clara,2023-05-12,103,13,116,3170,16,4,47
Santa Barbara,2023-05-11,15,1,16,604,1,0,23
Mendocino,2023-05-11,1,0,1,96,0,0,4
Tehama,2023-05-11,0,0,0,60,0,0,4
Yolo,2023-05-11,4,0,4,148,0,0,1
Glenn,2023-05-11,1,0,1,32,0,0,0
Kern,2023-05-11,10,0,10,1016,2,0,29
Mariposa,2023-05-11,0,0,0,14,0,0,0
Sacramento,2023-05-11,75,5,80,2728,7,1,64
Orange,2023-05-11,65,5,70,5920,8,2,127
El Dorado,2023-05-11,1,0,1,194,1,0,2
Santa Clara,2023-05-11,100,9,109,3203,15,3,49
San Mateo,2023-05-11,19,0,19,676,0,0,15
Imperial,2023-05-11,12,0,12,221,1,0,11
Kings,2023-05-11,2,0,2,97,0,0,2
Santa Cruz,2023-05-11,12,0,12,330,1,0,0
Marin,2023-05-11,8,0,8,383,1,0,11
San Joaquin,2023-05-11,16,0,16,869,1,0,17
Colusa,2023-05-11,1,0,1,37,0,0,0
Mono,2023-05-11,0,0,0,17,0,0,2
Merced,2023-05-11,3,0,3,271,0,0,16
Napa,2023-05-11,4,0,4,200,0,0,4
San Benito,2023-05-11,2,0,2,25,0,0,1
Lake,2023-05-11,1,0,1,65,0,0,0
Los Angeles,2023-05-11,263,28,291,19387,25,4,625
Placer,2023-05-11,37,3,40,812,3,0,18
Riverside,2023-05-11,47,5,52,3398,7,0,125
Amador,2023-05-11,0,0,0,54,0,0,4
Butte,2023-05-11,9,0,9,422,0,0,22
Solano,2023-05-11,18,2,20,636,3,0,11
Sonoma,2023-05-11,15,0,15,643,3,0,28
San Francisco,2023-05-11,41,5,46,2166,3,0,80
Calaveras,2023-05-11,1,0,1,33,0,0,2
Siskiyou,2023-05-11,2,0,2,56,0,0,6
Trinity,2023-05-11,0,0,0,10,0,0,0
Alameda,2023-05-11,59,11,70,2525,6,3,72
San Luis Obispo,2023-05-11,6,0,6,436,0,0,16
Tuolumne,2023-05-11,0,0,0,72,0,0,5
Fresno,2023-05-11,58,5,63,1693,7,0,42
Del Norte,2023-05-11,0,0,0,55,0,0,3
Humboldt,2023-05-11,0,0,0,273,0,0,10
Yuba,2023-05-11,5,0,5,261,1,0,6
Lassen,2023-05-11,0,0,0,25,0,0,0
Sutter,2023-05-11,0,0,0,14,0,0,0
Stanislaus,2023-05-11,25,6,31,1222,4,1,29
Nevada,2023-05-11,5,0,5,115,1,0,3
Modoc,2023-05-11,0,0,0,12,0,0,0
Tulare,2023-05-11,6,0,6,670,0,0,25
Ventura,2023-05-11,13,2,15,1176,2,0,36
Monterey,2023-05-11,16,0,16,731,0,0,16
Plumas,2023-05-11,2,0,2,35,0,0,0
Madera,2023-05-11,2,0,2,330,0,0,13
Inyo,2023-05-11,0,0,0,29,0,0,4
San Bernardino,2023-05-11,60,2,62,3628,14,1,176
San Diego,2023-05-11,93,11,104,6572,11,0,284
Contra Costa,2023-05-11,39,6,45,1357,3,0,50
Shasta,2023-05-11,2,0,2,568,1,0,17
Madera,2023-05-10,2,0,2,336,0,0,13
Merced,2023-05-10,4,0,4,271,0,0,15
Kings,2023-05-10,1,0,1,106,0,0,1
El Dorado,2023-05-10,2,0,2,194,0,0,3
San Luis Obispo,2023-05-10,6,0,6,433,0,0,16
Calaveras,2023-05-10,1,0,1,33,0,0,4
Yuba,2023-05-10,4,0,4,261,1,0,9
Mendocino,2023-05-10,1,0,1,93,0,0,4
San Diego,2023-05-10,86,6,92,6572,9,2,291
Santa Clara,2023-05-10,107,6,113,3183,19,1,34
Plumas,2023-05-10,0,0,0,35,0,0,0
Marin,2023-05-10,11,0,11,393,0,0,13
Monterey,2023-05-10,13,0,13,731,0,0,15
Mariposa,2023-05-10,0,0,0,14,0,0,0
San Mateo,2023-05-10,27,0,27,671,2,0,14
Solano,2023-05-10,18,2,20,631,2,0,7
Ventura,2023-05-10,12,4,16,1179,0,0,33
Los Angeles,2023-05-10,272,37,309,19340,20,2,566
Santa Barbara,2023-05-10,7,1,8,604,0,0,20
Modoc,2023-05-10,0,0,0,12,0,0,0
Amador,2023-05-10,0,0,0,54,0,0,2
Nevada,2023-05-10,7,0,7,115,1,0,4
San Francisco,2023-05-10,43,5,48,2166,5,0,71
Imperial,2023-05-10,9,0,9,221,0,0,11
Siskiyou,2023-05-10,1,0,1,56,0,0,4
Trinity,2023-05-10,0,0,0,10,0,0,0
Lassen,2023-05-10,0,0,0,25,0,0,0
Sacramento,2023-05-10,56,5,61,2688,5,1,73
Riverside,2023-05-10,44,9,53,3408,2,2,124
Contra Costa,2023-05-10,39,2,41,1388,5,0,68
Humboldt,2023-05-10,0,0,0,273,0,0,8
Tehama,2023-05-10,0,0,0,60,0,0,4
Napa,2023-05-10,1,0,1,216,0,0,5
Mono,2023-05-10,0,0,0,17,0,0,1
Inyo,2023-05-10,0,0,0,29,0,0,4
Kern,2023-05-10,11,0,11,1026,2,0,29
Orange,2023-05-10,83,3,86,5836,9,0,128
