todays_date,total_hospitalized_covid_confirmed_patients,total_hospitalized_suspected_covid_patients,total_hospitalized_covid_patients,total_hospital_beds,total_icu_covid_confirmed_patients,total_icu_suspected_covid_patients,icu_available_beds
2023-05-12,1149,97,1246,66266,150,13,2141
2023-05-11,1176,106,1282,66622,132,15,2110
2023-05-10,1182,103,1285,66525,116,10,2049
2023-05-09,1172,81,1253,66103,120,6,2161
2023-05-08,1188,91,1279,65258,131,11,2357
2023-05-07,1217,92,1309,65330,131,12,2218
2023-05-06,1144,97,1241,65473,140,14,2161
2023-05-05,1163,94,1257,66260,146,14,2134
2023-05-04,1195,115,1310,66649,134,17,2089
2023-05-03,1227,106,1333,66685,137,9,2028
2023-05-02,1239,109,1348,66214,141,11,2051
2023-05-01,1282,109,1391,65803,133,16,2273
2023-04-30,1315,104,1419,65381,142,20,2130
2023-04-29,1247,118,1365,65991,147,17,2140
2023-04-28,1267,110,1377,66777,149,12,2235
2023-04-27,1316,108,1424,66767,159,13,2037
2023-04-26,1318,112,1430,66850,158,17,1970
2023-04-25,1347,123,1470,66331,169,16,1970
2023-04-24,1426,145,1571,65898,148,26,2146
2023-04-23,1466,132,1598,65563,156,21,2127
2023-04-22,1337,125,1462,66080,167,23,2062
2023-04-21,1413,138,1551,66652,172,17,2012
2023-04-20,1334,148,1482,66708,143,21,1974
2023-04-19,1361,139,1500,66766,143,21,2021
2023-04-18,1469,143,1612,66332,145,19,1977
2023-04-17,1464,148,1612,66054,149,29,2147
2023-04-16,1473,162,1635,65602,162,24,2092
2023-04-15,1417,143,1560,65864,159,19,1987
2023-04-14,1484,156,1640,66601,179,19,1946
2023-04-13,1455,174,1629,66707,178,18,1947
2023-04-12,1437,195,1632,66677,184,25,1931
2023-04-11,1470,212,1682,66225,164,28,1946
2023-04-10,1485,211,1696,65854,173,33,2097
2023-04-09,1484,266,1750,65408,179,36,2008
2023-04-08,1413,324,1737,66070,178,40,1917
2023-04-07,1494,343,1837,66580,184,37,1886
2023-04-06,1569,362,1931,66749,181,37,1980
2023-04-05,1561,419,1980,66598,171,45,1520
2023-04-04,1553,393,1946,66266,177,43,1604
2023-04-03,1539,409,1948,65705,176,55,2056
2023-04-02,1562,410,1972,65421,181,50,2012
2023-04-01,1494,403,1897,66065,184,45,1956
2023-03-31,1593,422,2015,66571,179,44,1878
2023-03-30,1598,430,2028,66816,194,45,1805
2023-03-29,1590,462,2052,66933,187,48,1853
2023-03-28,1625,437,2062,66359,177,40,1926
2023-03-27,1694,399,2093,65868,196,49,2075
2023-03-26,1708,394,2102,65535,191,43,2051
2023-03-25,1705,411,2116,66071,191,44,1999
2023-03-24,1725,420,2145,66685,187,45,1967
2023-03-23,1762,411,2173,66919,204,41,1889
2023-03-22,1823,414,2237,66898,214,47,1900
2023-03-21,1892,451,2343,66406,222,56,1866
2023-03-20,1938,439,2377,65971,237,50,2023
2023-03-19,1931,443,2374,65618,233,49,1998
2023-03-18,1967,441,2408,66040,221,50,1847
2023-03-17,1974,452,2426,66666,233,60,1819
2023-03-16,2026,463,2489,66905,244,56,1807
2023-03-15,2093,444,2537,66950,252,52,1766
2023-03-14,2197,467,2664,66529,277,53,1813
2023-03-13,2217,479,2696,66175,278,55,2003
2023-03-12,2219,475,2694,65803,248,52,1937
2023-03-11,2202,466,2668,66222,247,50,1849
2023-03-10,2289,490,2779,66751,281,53,1814
2023-03-09,2351,483,2834,66943,290,57,1796
2023-03-08,2375,443,2818,67092,279,57,1775
2023-03-07,2455,491,2946,66588,275,58,1817
2023-03-06,2336,463,2799,66188,262,53,1899
2023-03-05,2485,467,2952,65829,285,71,1860
2023-03-04,2447,454,2901,66315,293,60,1779
2023-03-03,2519,479,2998,66898,303,65,1738
2023-03-02,2453,473,2926,66945,289,62,1723
2023-03-01,2506,461,2967,67136,296,63,1626
2023-02-28,2517,458,2975,66661,311,58,1816
2023-02-27,2530,469,2999,66087,310,62,1892
2023-02-26,2548,464,3012,65616,295,49,1853
2023-02-25,2483,501,2984,66198,269,48,1743
2023-02-24,2516,510,3026,66872,307,50,1795
2023-02-23,2583,525,3108,66922,305,62,1840
2023-02-22,2607,521,3128,67045,293,66,1788
2023-02-21,2573,476,3049,66334,278,62,1892
2023-02-20,2451,483,2934,65940,292,58,1930
2023-02-19,2406,487,2893,65693,283,63,1888
2023-02-18,2317,478,2795,66051,265,58,1771
2023-02-17,2509,476,2985,66679,292,59,1746
2023-02-16,2525,491,3016,67056,282,60,1765
2023-02-15,2541,466,3007,67021,296,52,1732
2023-02-14,2529,489,3018,66526,282,56,1712
2023-02-13,2510,470,2980,66185,287,57,1898
2023-02-12,2462,489,2951,65773,258,61,1807
2023-02-11,2448,503,2951,66363,258,54,1716
2023-02-10,2480,518,2998,66969,279,68,1778
2023-02-09,2485,488,2973,66967,302,58,1722
2023-02-08,2477,497,2974,67095,275,63,1761
