date,location,location_level,demog,demog_cat,metric_cat,metric,value
2020-07-04,CA,state,race_ethnicity,African American,cases,cases_week_rate,78.45719
2020-07-04,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,1.67108
2020-07-04,CA,state,race_ethnicity,African American,tests,tests_week_rate,344.70197
2020-07-04,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,56.74488
2020-07-04,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,0.485
2020-07-04,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,197.87958
2020-07-04,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,32.47344
2020-07-04,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.06629
2020-07-04,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,214.50245
2020-07-04,CA,state,race_ethnicity,Latino,cases,cases_week_rate,190.14574
2020-07-04,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,2.35522
2020-07-04,CA,state,race_ethnicity,Latino,tests,tests_week_rate,274.16571
2020-07-04,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,58.30588
2020-07-04,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,1.015
2020-07-04,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,77.1397
2020-07-04,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,145.15071
2020-07-04,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,2.21042
2020-07-04,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,853.95775
2020-07-04,CA,state,race_ethnicity,White,cases,cases_week_rate,56.70295
2020-07-04,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.15026
2020-07-04,CA,state,race_ethnicity,White,tests,tests_week_rate,362.33803
2020-07-11,CA,state,race_ethnicity,African American,cases,cases_week_rate,97.21506
2020-07-11,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,2.25596
2020-07-11,CA,state,race_ethnicity,African American,tests,tests_week_rate,912.24241
2020-07-11,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,71.77985
2020-07-11,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,2.42499
2020-07-11,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,558.23383
2020-07-11,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,39.51743
2020-07-11,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.13092
2020-07-11,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,600.80718
2020-07-11,CA,state,race_ethnicity,Latino,cases,cases_week_rate,223.31084
2020-07-11,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,2.58562
2020-07-11,CA,state,race_ethnicity,Latino,tests,tests_week_rate,832.91642
2020-07-11,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,73.41804
2020-07-11,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,0.33833
2020-07-11,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,198.26255
2020-07-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,209.25281
2020-07-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,2.21042
2020-07-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,2303.25447
2020-07-11,CA,state,race_ethnicity,White,cases,cases_week_rate,65.81653
2020-07-11,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.38167
2020-07-11,CA,state,race_ethnicity,White,tests,tests_week_rate,906.80475
2020-07-18,CA,state,race_ethnicity,African American,cases,cases_week_rate,91.53339
2020-07-18,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,2.50662
2020-07-18,CA,state,race_ethnicity,African American,tests,tests_week_rate,1005.7811
2020-07-18,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,69.35485
2020-07-18,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,1.94
2020-07-18,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,559.68882
2020-07-18,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,39.71131
2020-07-18,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.14707
2020-07-18,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,650.37361
2020-07-18,CA,state,race_ethnicity,Latino,cases,cases_week_rate,214.41476
2020-07-18,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,3.34723
2020-07-18,CA,state,race_ethnicity,Latino,tests,tests_week_rate,945.16705
2020-07-18,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,66.42585
2020-07-18,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,1.12777
2020-07-18,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,203.67586
2020-07-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,190.09586
2020-07-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,4.42083
2020-07-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,2485.24547
2020-07-18,CA,state,race_ethnicity,White,cases,cases_week_rate,54.78358
2020-07-18,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.5178
2020-07-18,CA,state,race_ethnicity,White,tests,tests_week_rate,918.79738
2020-07-25,CA,state,race_ethnicity,African American,cases,cases_week_rate,79.12562
2020-07-25,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,2.88261
2020-07-25,CA,state,race_ethnicity,African American,tests,tests_week_rate,949.04794
2020-07-25,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,68.86986
2020-07-25,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,0.97
2020-07-25,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,504.88394
2020-07-25,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,36.86786
2020-07-25,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.48635
2020-07-25,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,604.70077
2020-07-25,CA,state,race_ethnicity,Latino,cases,cases_week_rate,187.88012
2020-07-25,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,3.33443
2020-07-25,CA,state,race_ethnicity,Latino,tests,tests_week_rate,860.46868
2020-07-25,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,55.14812
2020-07-25,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,1.015
2020-07-25,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,169.05322
2020-07-25,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,148.83474
2020-07-25,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,3.68403
2020-07-25,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,2132.31556
2020-07-25,CA,state,race_ethnicity,White,cases,cases_week_rate,44.85325
2020-07-25,CA,state,race_ethnicity,White,deaths,deaths_week_rate,2.08952
2020-07-25,CA,state,race_ethnicity,White,tests,tests_week_rate,789.49206
2020-08-01,CA,state,race_ethnicity,African American,cases,cases_week_rate,67.63695
2020-08-01,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,2.79906
2020-08-01,CA,state,race_ethnicity,African American,tests,tests_week_rate,1060.17474
2020-08-01,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,50.92489
2020-08-01,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,2.42499
2020-08-01,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,543.68386
2020-08-01,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,32.97428
2020-08-01,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.29248
2020-08-01,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,657.91844
2020-08-01,CA,state,race_ethnicity,Latino,cases,cases_week_rate,162.19028
2020-08-01,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,3.53923
2020-08-01,CA,state,race_ethnicity,Latino,tests,tests_week_rate,868.73755
2020-08-01,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,51.08813
2020-08-01,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,0.56389
2020-08-01,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,179.87985
2020-08-01,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,155.46599
2020-08-01,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,3.68403
2020-08-01,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,2524.29617
2020-08-01,CA,state,race_ethnicity,White,cases,cases_week_rate,38.53704
2020-08-01,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.9602
2020-08-01,CA,state,race_ethnicity,White,tests,tests_week_rate,872.39911
2020-08-08,CA,state,race_ethnicity,African American,cases,cases_week_rate,60.07532
2020-08-08,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,2.63195
2020-08-08,CA,state,race_ethnicity,African American,tests,tests_week_rate,944.99558
2020-08-08,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,51.40989
2020-08-08,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,1.94
2020-08-08,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,513.12892
2020-08-08,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,29.38766
2020-08-08,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.61559
2020-08-08,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,641.16473
2020-08-08,CA,state,race_ethnicity,Latino,cases,cases_week_rate,142.5357
2020-08-08,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,3.36643
2020-08-08,CA,state,race_ethnicity,Latino,tests,tests_week_rate,828.12278
2020-08-08,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,51.53924
2020-08-08,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,1.69166
2020-08-08,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,186.53371
2020-08-08,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,134.09863
2020-08-08,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,0.73681
2020-08-08,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,2186.83918
2020-08-08,CA,state,race_ethnicity,White,cases,cases_week_rate,33.7114
2020-08-08,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.98062
2020-08-08,CA,state,race_ethnicity,White,tests,tests_week_rate,838.96676
2020-08-15,CA,state,race_ethnicity,African American,cases,cases_week_rate,52.01236
2020-08-15,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,1.92174
2020-08-15,CA,state,race_ethnicity,African American,tests,tests_week_rate,876.14709
2020-08-15,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,42.67991
2020-08-15,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,0.485
2020-08-15,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,518.94891
2020-08-15,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,27.90131
2020-08-15,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.53481
2020-08-15,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,618.8049
2020-08-15,CA,state,race_ethnicity,Latino,cases,cases_week_rate,119.27149
2020-08-15,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,2.91843
2020-08-15,CA,state,race_ethnicity,Latino,tests,tests_week_rate,752.54449
2020-08-15,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,52.32868
