area,area_type,sex,race_ethnicity_code,race_ethnicity,age,population_2020
Alameda,County,Female,1,White NH,0,2673
Alameda,County,Female,1,White NH,1,2604
Alameda,County,Female,1,White NH,2,2574
Alameda,County,Female,1,White NH,3,2892
Alameda,County,Female,1,White NH,4,2957
Alameda,County,Female,1,White NH,5,2847
Alameda,County,Female,1,White NH,6,2852
Alameda,County,Female,1,White NH,7,2859
Alameda,County,Female,1,White NH,8,2733
Alameda,County,Female,1,White NH,9,2741
Alameda,County,Female,1,White NH,10,2163
Alameda,County,Female,1,White NH,11,1988
Alameda,County,Female,1,White NH,12,1962
Alameda,County,Female,1,White NH,13,2085
Alameda,County,Female,1,White NH,14,1986
Alameda,County,Female,1,White NH,15,2413
Alameda,County,Female,1,White NH,16,2540
Alameda,County,Female,1,White NH,17,2380
Alameda,County,Female,1,White NH,18,2847
Alameda,County,Female,1,White NH,19,2961
Alameda,County,Female,1,White NH,20,2970
Alameda,County,Female,1,White NH,21,2841
Alameda,County,Female,1,White NH,22,2972
Alameda,County,Female,1,White NH,23,3083
Alameda,County,Female,1,White NH,24,3046
Alameda,County,Female,1,White NH,25,3177
Alameda,County,Female,1,White NH,26,3185
Alameda,County,Female,1,White NH,27,3456
Alameda,County,Female,1,White NH,28,3556
Alameda,County,Female,1,White NH,29,3573
Alameda,County,Female,1,White NH,30,3783
Alameda,County,Female,1,White NH,31,3708
Alameda,County,Female,1,White NH,32,3767
Alameda,County,Female,1,White NH,33,3724
Alameda,County,Female,1,White NH,34,3816
Alameda,County,Female,1,White NH,35,4296
Alameda,County,Female,1,White NH,36,4114
Alameda,County,Female,1,White NH,37,3991
Alameda,County,Female,1,White NH,38,3893
Alameda,County,Female,1,White NH,39,3676
Alameda,County,Female,1,White NH,40,3818
Alameda,County,Female,1,White NH,41,3378
Alameda,County,Female,1,White NH,42,3315
Alameda,County,Female,1,White NH,43,3183
Alameda,County,Female,1,White NH,44,3161
Alameda,County,Female,1,White NH,45,3341
Alameda,County,Female,1,White NH,46,3115
Alameda,County,Female,1,White NH,47,3113
Alameda,County,Female,1,White NH,48,3331
Alameda,County,Female,1,White NH,49,3661
Alameda,County,Female,1,White NH,50,3929
Alameda,County,Female,1,White NH,51,3719
Alameda,County,Female,1,White NH,52,3529
Alameda,County,Female,1,White NH,53,3518
Alameda,County,Female,1,White NH,54,3576
Alameda,County,Female,1,White NH,55,3990
Alameda,County,Female,1,White NH,56,4125
Alameda,County,Female,1,White NH,57,3959
Alameda,County,Female,1,White NH,58,4242
Alameda,County,Female,1,White NH,59,4329
Alameda,County,Female,1,White NH,60,4411
Alameda,County,Female,1,White NH,61,4321
Alameda,County,Female,1,White NH,62,4323
Alameda,County,Female,1,White NH,63,4264
Alameda,County,Female,1,White NH,64,4225
Alameda,County,Female,1,White NH,65,4237
Alameda,County,Female,1,White NH,66,4106
Alameda,County,Female,1,White NH,67,4047
Alameda,County,Female,1,White NH,68,4021
Alameda,County,Female,1,White NH,69,3745
Alameda,County,Female,1,White NH,70,3828
Alameda,County,Female,1,White NH,71,3622
Alameda,County,Female,1,White NH,72,3673
Alameda,County,Female,1,White NH,73,3810
Alameda,County,Female,1,White NH,74,2952
Alameda,County,Female,1,White NH,75,2828
Alameda,County,Female,1,White NH,76,2577
Alameda,County,Female,1,White NH,77,2442
Alameda,County,Female,1,White NH,78,2224
Alameda,County,Female,1,White NH,79,1822
Alameda,County,Female,1,White NH,80,1809
Alameda,County,Female,1,White NH,81,1569
